"icao","airport","city","state"
"SILC","AEROPORTO MUNICIPAL BOM FUTURO ","LUCAS DO RIO VERDE","MT"
"SIMK","TENENTE LUND PRESSOTO","FRANCA","SP"
"SIZX","JUARA SUL","JUARA","MT"
"SJAU","ARAGUACEMA","ARAGUACEMA","TO"
"SJBY","JOÃO SILVA","SANTA INÊS","MA"
"SJGU","ARAGUATINS","ARAGUATINS","TO"
"SBJA","REGIONAL SUL","JAGUARUNA","SC"
"SJOG","ARIQUEMES","ARIQUEMES","RO"
"SJQN","QUIRINÓPOLIS","QUIRINÓPOLIS","GO"
"SJRG","REGIONAL DE RIO GRANDE","RIO GRANDE","RS"
"SJTS","TERRA SANTA","TERRA SANTA","PA"
"SJVO","ARAGARÇAS","ARAGARÇAS","GO"
"SJZA","PEDRO VIEIRA MOREIRA","CAJAZEIRAS","PB"
"SNAB","ARARIPINA","ARARIPINA","PE"
"SNAE","ARCOVERDE","ARCOVERDE","PE"
"SNAG","ARAGUARI","ARAGUARI","MG"
"SNAL","ARAPIRACA","ARAPIRACA","AL"
"SNAP","JANAÚBA","JANAÚBA","MG"
"SNAR","CIRILO QUEIRÓZ","ALMENARA","MG"
"SNAS","TRÊS MARIAS","TRÊS MARIAS","MG"
"SBAC","AEROPORTO REGIONAL DE CANOA QUEBRADA DRAGÃO DO MAR","ARACATI","CE"
"SNAX","MARCELO PIRES HALZHAUSEN","ASSIS","SP"
"SNBA","CHAFEI AMSEI (SBBT*)","BARRETOS","SP"
"SNBC","BARRA DO CORDA","BARRA DO CORDA","MA"
"SNBG","BAIXO GUANDU - AIMORÉS","BAIXO GUANDU","ES"
"SNBI","BACABAL","BACABAL","MA"
"SNBM","CRISTIANO FERREIRA VARELLA","MURIAÉ","MG"
"SNBR","DOM RICARDO WEBERBERGER","BARREIRAS","BA"
"SNBS","BALSAS","BALSAS","MA"
"SNBX","BARRA","BARRA","BA"
"SNBZ","PARAMIRIM","PARAMIRIM","BA"
"SNCA","CAMPO BELO","CAMPO BELO","MG"
"SNCS","CAMPOS SALES","CAMPOS SALES","CE"
"SNCT","CARATINGA","UBAPORANGA","MG"
"SNCX","COLATINA","COLATINA","ES"
"SNCZ","PONTE NOVA","PONTE NOVA","MG"
"SNDC","REDENÇÃO","REDENÇÃO","PA"
"SNDT","JUSCELINO KUBITSCHEK","DIAMANTINA","MG"
"SNDV","BRIGADEIRO ANTÔNIO CABRAL","DIVINÓPOLIS","MG"
"SNEB","NAGIB DEMACHKI","PARAGOMINAS","PA"
"SNED","SÓCRATES REZENDE","CANAVIEIRAS","BA"
"SNEE","VACARIA NOVO","VACARIA","RS"
"SNFE","COMANDANTE PASCHOAL PATROCÍNIO FILHO","ALFENAS","MG"
"SNFO","FORMIGA","FORMIGA","MG"
"SNFU","FRUTAL","FRUTAL","MG"
"SNFX","SÃO FÉLIX DO XINGU","SÃO FÉLIX DO XINGU","PA"
"SNGA","GUARAPARI","GUARAPARI","ES"
"SNGB","GILBUÉS","GILBUÉS","PI"
"SNGD","GUADALUPE","GUADALUPE","PI"
"SNGG","BOM JESUS DO GURGUÉIA","BOM JESUS","PI"
"SNGI","GUANAMBI","GUANAMBI","BA"
"SNGN","GARANHUNS","GARANHUNS","PE"
"SNGX","GUAXUPÉ","GUAXUPÉ","MG"
"SNHS","SANTA MAGALHÃES","SERRA TALHADA","PE"
"SNIB","ITABERABA","ITABERABA","BA"
"SNIC","IRECÊ","IRECÊ","BA"
"SNIE","CAETITÉ","CAETITÉ","BA"
"SNIG","IGUATU","IGUATU","CE"
"SNIO","CIPÓ","CIPÓ","BA"
"SNIP","ITAPETINGA","ITAPETINGA","BA"
"SNIT","IBOTIRAMA","IBOTIRAMA","BA"
"SNIU","IPIAÚ","IPIAÚ","BA"
"SNJB","JACOBINA","JACOBINA","BA"
"SDIY","JOÃO DURVAL CARNEIRO (SBFE*)","FEIRA DE SANTANA","BA"
"SNJK","JEQUIÉ","JEQUIÉ","BA"
"SNJM","ELIAS BREDER","MANHUAÇU","MG"
"SNJP","JOÃO PINHEIRO","JOÃO PINHEIRO","MG"
"SNJQ","JEQUITINHONHA","JEQUITINHONHA","MG"
"SNJR","PREFEITO OCTÁVIO DE ALMEIDA NEVES","SÃO JOÃO DEL REI","MG"
"SNKD","CONCEIÇÃO DO MATO DENTRO","CONCEIÇÃO DO MATO DENTRO","MG"
"SNKF","DAS BANDEIRINHAS","CONSELHEIRO LAFAIETE","MG"
"SNKI","CACHOEIRO DE ITAPEMIRIM","CACHOEIRO DE ITAPEMIRIM","ES"
"SNKN","CURRAIS NOVOS","CURRAIS NOVOS","RN"
"SNKR","CORRENTE","CORRENTE","PI"
"SNLI","ABAETÉ","ABAETÉ","MG"
"SNLN","MUNICIPAL DE LINHARES","LINHARES","ES"
"SNLO","SÃO LOURENÇO","SÃO LOURENÇO","MG"
"SNLT","PAULISTANA","PAULISTANA","PI"
"SNMA","MONTE ALEGRE","MONTE ALEGRE","PA"
"SNMH","PIRENÓPOLIS","PIRENÓPOLIS","GO"
"SNMJ","MARACÁS","MARACÁS","BA"
"SNMK","MOCAMBINHO","JAÍBA","MG"
"SNMN","MINAS NOVAS","MINAS NOVAS","MG"
"SNMR","MARAÚ","MARAÚ","BA"
"SNMX","SÃO MATEUS","SÃO MATEUS","ES"
"SNMZ","PORTO DE MOZ","PORTO DE MOZ","PA"
"SNNE","SEBASTIÃO CARLOS LEITE","SÃO JOÃO NEPOMUCENO","MG"
"SNNU","NANUQUE","NANUQUE","MG"
"SNOB","AERÓDROMO PÚBLICO DE SOBRAL","SOBRAL","CE"
"SNOE","OEIRAS","OEIRAS","PI"
"SNOS","MUNICIPAL JOSÉ FIGUEIREDO","PASSOS","MG"
"SNOX","ORIXIMINÁ","ORIXIMINÁ","PA"
"SNPA","PARÁ DE MINAS","PARÁ DE MINAS","MG"
"SNPC","PICOS","PICOS","PI"
"SNPD","PATOS DE MINAS","PATOS DE MINAS","MG"
"SNPJ","PATROCÍNIO","PATROCÍNIO","MG"
"SNPQ","PESQUEIRA","PESQUEIRA","PE"
"SBCZ","CRUZEIRO DO SUL","CRUZEIRO DO SUL","AC"
"SNPX","PIRAPORA","PIRAPORA","MG"
"SNPY","SÃO SEBASTIÃO DO PARAÍSO","SÃO SEBASTIÃO DO PARAÍSO","MG"
"SNQD","SOUSA","SOUSA","PB"
"SNQG","CANGAPARA","FLORIANO","PI"
"SNQU","MUCUGÊ","MUCUGÊ","BA"
"SNQV","CURVELO","CURVELO","MG"
"SNQX","QUIXADÁ","QUIXADÁ","CE"
"SNRD","PRADO","PRADO","BA"
"SNRM","REMANSO","REMANSO","BA"
"SNRP","RIO PARANAÍBA","RIO PARANAÍBA","MG"
"SNRU","CARUARU","CARUARU","PE"
"SNRX","RIACHÃO","RIACHÃO","MA"
"SNRZ","OLIVEIRA","OLIVEIRA","MG"
"SNSE","SENTO SÉ","SENTO SÉ","BA"
"SNSG","SALGUEIRO","SALGUEIRO","PE"
"SNSI","SANTA MARIA DO SUAÇUÍ","SANTA MARIA DO SUAÇUÍ","MG"
"SNSM","SALINÓPOLIS","SALINÓPOLIS","PA"
"SNSS","SALINAS","SALINAS","MG"
"SNTF","TEIXEIRA DE FREITAS","TEIXEIRA DE FREITAS","BA"
"SNTI","ÓBIDOS","ÓBIDOS","PA"
"SNTO","JUSCELINO KUBITSCHECK","TEÓFILO OTONI","MG"
"SNTQ","BURITIRAMA","BURITIRAMA","BA"
"SNTS","BRIGADEIRO FIRMINO AYRES","PATOS","PB"
"SNUB","UBÁ","UBÁ","MG"
"SNUH","PIUMHI","PIUMHI","MG"
