"icao","airport","city","state"
"SSSG","SÃO GABRIEL","SÃO GABRIEL","RS"
"SSSS","SÃO FRANCISCO DO SUL","SÃO FRANCISCO DO SUL","SC"
"SSST","SANTIAGO","SANTIAGO","RS"
"SSSZ","SERTANÓPOLIS","SERTANÓPOLIS","PR"
"SSTB","TRÊS BARRAS","TRÊS BARRAS","SC"
"SSUM","ORLANDO DE CARVALHO","UMUARAMA","PR"
"SSUV","JOSÉ CLETO","UNIÃO DA VITÓRIA","PR"
"SBVC","GLAUBER DE ANDRADE ROCHA","VITÓRIA DA CONQUISTA","BA"
"SSVI","ÂNGELO PONZONI","VIDEIRA","SC"
"SSVL","TELÊMACO BORBA (SBTL*)","TELÊMACO BORBA","PR"
"SSVN","VERANÓPOLIS","VERANÓPOLIS","RS"
"SBJE","COMANDANTE ARISTON PESSOA","CRUZ","CE"
"SSWS","CAÇAPAVA DO SUL","CAÇAPAVA DO SUL","RS"
"SSXX","MUNICIPAL JOÃO WINCKLER","XANXERÊ","SC"
"SSZR","LUIS ALBERTO LEHR","SANTA ROSA","RS"
"SBPG","COMANDANTE ANTÔNIO AMILTON BERALDO","PONTA GROSSA","PR"
"SWBC","BARCELOS","BARCELOS","AM"
"SWBE","WALFRIDO SALMITO DE ALMEIDA","SÃO BENEDITO","CE"
"SWBG","ANDRÉ ANTÔNIO MAGGI","PONTES E LACERDA","MT"
"SWBR","BORBA","BORBA","AM"
"SWCA","CARAUARI","CARAUARI","AM"
"SWCB","CAMPOS BELOS","CAMPOS BELOS","GO"
"SWCQ","COSTA MARQUES","COSTA MARQUES","RO"
"SWCZ","CERES","CERES","GO"
"SWDM","DIAMANTINO","DIAMANTINO","MT"
"SWDN","DIANÓPOLIS","DIANÓPOLIS","TO"
"SWEI","EIRUNEPÉ","EIRUNEPÉ","AM"
"SWEK","CANARANA","CANARANA","MT"
"SWFN","FLORES","MANAUS","AM"
"SWFR","FORMOSA","FORMOSA","GO"
"SWFX","SÃO FÉLIX DO ARAGUAIA","SÃO FÉLIX DO ARAGUAIA","MT"
"SWGI","GURUPI","GURUPI","TO"
"SWGN","ARAGUAÍNA","ARAGUAÍNA","TO"
"SWHP","FREDERICO CARLOS MÜLLER","ÁGUA BOA","MT"
"SWHT","FRANCISCO CORREA DA CRUZ","HUMAITÁ","AM"
"SWII","IPIRANGA","SANTO ANTÔNIO DO IÇÁ","AM"
"SWIQ","JOSÉ CAIRES DE OLIVEIRA","MINAÇU","GO"
"SWJN","JUÍNA","JUÍNA","MT"
"SWJW","JATAÍ","JATAÍ","GO"
"SWKC","CÁCERES","CÁCERES","MT"
"SWKO","COARI","COARI","AM"
"SWKQ","SERRA DA CAPIVARA/SÃO RAIMUNDO NONATO","SÃO RAIMUNDO NONATO","PI"
"SWKT","CATALÃO","CATALÃO","GO"
"SWLB","LÁBREA","LÁBREA","AM"
"SWLC","GENERAL LEITE DE CASTRO","RIO VERDE","GO"
"SWME","MINEIROS","MINEIROS","GO"
"SWMW","MAUÉS","MAUÉS","AM"
"SWNH","ARUANÃ","ARUANÃ","GO"
"SWNK","NOVO CAMPO","BOCA DO ACRE","AM"
"SWNQ","NIQUELÂNDIA","NIQUELÂNDIA","GO"
"SWNS","ANÁPOLIS","ANÁPOLIS","GO"
"SBNV","AERÓDROMO NACIONAL DE AVIAÇÃO","GOIÂNIA","GO"
"SWOB","FONTE BOA","FONTE BOA","AM"
"SWPG","PORTO DOS GAÚCHOS","PORTO DOS GAÚCHOS","MT"
"SWPI","PARINTINS","PARINTINS","AM"
"SWPK","POCONÉ","POCONÉ","MT"
"SWPM","PIMENTA BUENO","PIMENTA BUENO","RO"
"SWPR","PIRES DO RIO","PIRES DO RIO","GO"
"SWPY","PRIMAVERA DO LESTE","PRIMAVERA DO LESTE","MT"
"SWPZ","OURIÇANGA DE ABREU","POSSE","GO"
"SWRO","AEROCLUBE DE RONDÔNIA","PORTO VELHO","RO"
"SBSI","PRESIDENTE JOÃO BATISTA FIGUEIREDO","SINOP","MT"
"SWTO","PARAÍSO DO TOCANTINS","PARAÍSO DO TOCANTINS","TO"
"SWTP","SANTA ISABEL DO RIO NEGRO","SANTA ISABEL DO RIO NEGRO","AM"
"SWTS","TANGARÁ DA SERRA","TANGARÁ DA SERRA","MT"
"SWTY","TAGUATINGA","TAGUATINGA","TO"
"SWUA","SÃO MIGUEL DO ARAGUAIA","SÃO MIGUEL DO ARAGUAIA","GO"
"SWUD","DEPUTADO OSWALDO TOLENTINO","CLÁUDIO","MG"
"SWUZ","BRIGADEIRO ARARIPE MACEDO","LUZIÂNIA","GO"
"SWVC","VILA RICA","VILA RICA","MT"
"SWWA","PORANGATU","PORANGATU","GO"
"SWWU","URUAÇU","URUAÇU","GO"
"SWXM","REGIONAL ORLANDO VILLAS BOAS","MATUPÁ","MT"
"SWXQ","LINS","LINS","SP"
"SWXV","XAVANTINA","NOVA XAVANTINA","MT"
"SWYN","APUÍ","APUÍ","AM"
"SBJH","SÃO PAULO CATARINA AEROPORTO EXECUTIVO","SÃO ROQUE","SP"
"SJXI","SANTA RITA DO SAPUCAÍ","SANTA RITA DO SAPUCAÍ","MG"
"SNCP","AEROPORTO REGIONAL DO PLANALTO SERRANO","CORREIA PINTO","SC"
"SBTC","UNA/COMANDATUBA","UNA","BA"
"SDH2","PORTO ALEGRE DO NORTE","PORTO ALEGRE DO NORTE","MT"
"SNOF","OURO FINO","OURO FINO","MG"
"SDK7","NOVA ANDRADINA","NOVA ANDRADINA","MS"
"SJ4Y","MORRINHOS","MORRINHOS","GO"
"SI68","GELINDO STEFANUTO","CAMPO NOVO DO PARECIS","MT"
"SN6L","DR. LUCIANO DE ARRUDA COELHO","SOBRAL","CE"
"SBFS","FAROL DE SÃO TOMÉ","CAMPOS DOS GOYTACAZES","RJ"
"SN3Y","NOVO AEROPORTO DE BOM JESUS DA LAPA","BOM JESUS DA LAPA","BA"
